id,title,category,research_status,download_status,asset_routes,report_citations,download_or_landing_urls,dois,notes
piagm,Pi and the AGM: A Study in Analytic Number Theory and Computational Complexity,book,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:piagm; report-2:borweinagm; report-3:piagm,https://carmamaths.org/jon/Preprints/Papers/Submitted%20Papers/Elliptic%20moments/pi-agm.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
polya,Problems and Theorems in Analysis,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:polya; report-3:polya,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
guin,The Didactical Challenge of Symbolic Calculators: Turning a Computational Device into a Mathematical Instrument,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:guin,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
euclid,Elements,book,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:euclid,"https://github.com/rfitzp/Elements
https://farside.ph.utexas.edu/Books/Euclid/Elements.pdf",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
sympy,Simplify: simplification functions,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-1:sympydocs; report-2:sympydocs; report-3:sympy,https://docs.sympy.org/latest/modules/simplify/simplify.html,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
sympysrc,sqrtdenest.py,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,4,report-1:sympysrc; report-2:sympysource; report-2:sympytests; report-3:sympysource,"https://raw.githubusercontent.com/sympy/sympy/1.14.0/sympy/simplify/sqrtdenest.py
https://raw.githubusercontent.com/sympy/sympy/1.14.0/sympy/simplify/tests/test_sqrtdenest.py
https://raw.githubusercontent.com/sympy/sympy/master/sympy/simplify/sqrtdenest.py
https://raw.githubusercontent.com/sympy/sympy/master/sympy/simplify/tests/test_sqrtdenest.py",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
sympyissues,SymPy radical-denesting issues and discussion,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:sympyissue; report-2:sympyissues; report-3:sympyissues,"https://github.com/sympy/sympy/issues/2415
https://github.com/sympy/sympy/issues/27082",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
maxima,raddenest,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:raddenestsrc; report-2:maximaraddenest; report-3:maxima,"https://github.com/gschintgen/raddenest
https://raw.githubusercontent.com/gschintgen/raddenest/master/raddenest.mac",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
maximamanual,Maxima manual,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:maximamanual; report-2:maximamanual,"https://maxima.sourceforge.io/docs/manual/maxima_singlepage.html
https://maxima.sourceforge.io/docs/manual/",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
maximathread,raddenest announcement and discussion,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,3,report-1:maximathread; report-2:maximathread,"https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/o6lan6%24h4r%241%40blaine.gmane.org/
https://maxima-discuss.narkive.com/rz7bUs4t/denesting
https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/slrno8nek9.2pg.robert.dodier@freekbox.fglan/",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
wolframroot,RootReduce,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-1:wolframroot; report-2:wolframroot; report-3:wolframroot,https://reference.wolfram.com/language/ref/RootReduce.html,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
wolframradicals,ToRadicals,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-1:wolframradical; report-2:wolframtoradicals; report-3:wolframradicals,https://reference.wolfram.com/language/ref/ToRadicals.html,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
wolframresource,RadicalDenest,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:wolframrd; report-2:wolframresource; report-3:wolframresource,"https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest
https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest/",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
wolframcommunity,Radical denest: an ancient difficult task in symbolic computation,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:wolframcommunity; report-2:wolframcommunity; report-3:wolframcommunity,"https://community.wolfram.com/groups/-/m/t/980264
https://community.wolfram.com/groups/-/m/t/2120629",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
maple,radnormal,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:maplerad; report-1:maplesimp; report-2:mapleradnormal; report-2:mapleradical; report-3:maple,"https://www.maplesoft.com/support/help/Maple/view.aspx?path=radnormal
https://www.maplesoft.com/support/help/Maple/view.aspx?path=simplify%2Fradical",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
sage,Field of algebraic numbers,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,3,report-1:sageaa; report-1:sagesymbolic; report-2:sageqqbar; report-2:sageexpression; report-3:sage,"https://doc.sagemath.org/html/en/reference/number_fields/sage/rings/qqbar.html
https://doc.sagemath.org/html/en/reference/calculus/sage/symbolic/expression.html
https://doc.sagemath.org/html/en/reference/qqbar/sage/rings/qqbar.html",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
pari,General number fields,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:pari; report-2:pari; report-3:pari,"https://pari.math.u-bordeaux.fr/dochtml/html-stable/General_number_fields.html
https://pari.math.u-bordeaux.fr/dochtml/html/General_number_fields.html",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
magma,Handbook,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:magma,"https://magma.maths.usyd.edu.au/magma/handbook/
https://magma.maths.usyd.edu.au/magma/releasenotes/pdf/relv210.pdf",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
flint,FLINT qqbar.h: algebraic numbers,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-3:flint,https://flintlib.org/doc/qqbar.html,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
calcium,FLINT / Calcium ca.h: exact complex numbers,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-3:calcium,https://flintlib.org/doc/ca.html,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
fricas,RadicalSolvePackage,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,2,report-1:fricas; report-3:fricas,"https://fricas.github.io/api/RadicalSolvePackage.html
https://groups.google.com/g/fricas-devel/c/7Kp0vVbPXJE",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
honda,GaloisGroupSolver,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-1:honda; report-2:honda; report-3:honda,https://github.com/YasuakiHonda/GaloisGroupSolver,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
wikipedia,Nested radical,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-1:wiki; report-2:wikipedia; report-3:wikipedia,https://en.wikipedia.org/wiki/Nested_radical,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
mathworld,Nested Radical,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-1:mathworld; report-2:mathworld; report-3:mathworld,https://mathworld.wolfram.com/NestedRadical.html,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
brownmath,Nested radicals,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-1:brown; report-2:brownmath; report-3:brownmath,https://brownmath.com/alge/nestrad.htm,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
mse,Math Stack Exchange questions on denesting radicals,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,3,report-1:mse; report-2:mse4680; report-2:mse16331; report-2:mse871639; report-3:mse,"https://math.stackexchange.com/questions/4680
https://math.stackexchange.com/questions/16331
https://math.stackexchange.com/questions/871639",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
mo,MathOverflow discussions of radicals and algebraic identities,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,4,report-1:mo; report-2:mo319874; report-2:mo410388; report-2:mo344478; report-3:mo,"https://mathoverflow.net/questions/319874/relevance-of-landaus-algorithm-for-denesting-radicals
https://mathoverflow.net/questions/410388
https://mathoverflow.net/questions/344478
https://mathoverflow.net/questions/319874",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
oeis,A135611,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-2:oeis,https://oeis.org/A135611,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
tiwari,Complete elementary analysis of Ramanujan's nested radicals,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,1,report-2:tiwari,https://gauravtiwari.org/projects-ramanujan-nested-radical/,,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
infiniteblogs,Ramanujan's nested radical problem,web_resource,web_resource_urls_catalogued,not_downloaded_network_failure,3,report-1:infiniteblogs,"https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495
https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774
https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
